,Pressure,Pumping Speed (L/min)
Alcatel-ACP28,60,393
Alcatel-ACP28,67.5,388
Alcatel-ACP28,75,383
Alcatel-ACP28,150,354
Alcatel-ACP28,225,330
Alcatel-ACP28,300,310
Alcatel-ACP28,375,294
Alcatel-ACP28,450,283
Alcatel-ACP28,525,275
Alcatel-ACP28,600,267
Alcatel-ACP28,675,267
Alcatel-ACP28,750,267
Alcatel-ACP28G,0.09,0
Alcatel-ACP28G,0.15,167
Alcatel-ACP28G,0.225,283
Alcatel-ACP28G,0.3,325
Alcatel-ACP28G,0.375,343
Alcatel-ACP28G,0.45,362
Alcatel-ACP28G,0.525,377
Alcatel-ACP28G,0.6,383
Alcatel-ACP28G,0.675,392
Alcatel-ACP28G,0.75,400
Alcatel-ACP28G,1.5,430
Alcatel-ACP28G,2.25,443
Alcatel-ACP28G,3,450
Alcatel-ACP28G,3.75,450
Alcatel-ACP28G,4.5,448
Alcatel-ACP28G,5.25,447
Alcatel-ACP28G,6,445
Alcatel-ACP28G,6.75,443
Alcatel-ACP28G,7.5,442
Alcatel-ACP28G,15,427
Alcatel-ACP28G,22.5,417
Alcatel-ACP28G,30,406
Alcatel-ACP28G,37.5,397
Alcatel-ACP28G,45,388
Alcatel-ACP28G,52.5,383
Alcatel-ACP28G,60,380
Alcatel-ACP28G,67.5,375
Alcatel-ACP28G,75,368
Alcatel-ACP28G,150,333
Alcatel-ACP28G,225,308
Alcatel-ACP28G,300,292
Alcatel-ACP28G,375,280
Alcatel-ACP28G,450,270
Alcatel-ACP28G,525,260
Alcatel-ACP28G,600,258
Alcatel-ACP28G,675,258
Alcatel-ACP28G,750,258
Alcatel2063,0.00225,16.7
Alcatel2063,0.0045,267
Alcatel2063,0.0075,400
Alcatel2063,0.00975,467
Alcatel2063,0.0225,600
Alcatel2063,0.075,733
Alcatel2063,0.15,800
Alcatel2063,0.338,867
Alcatel2063,1.5,933
Alcatel2063,760,933
ANLET FT6-36P,0.0113,24
ANLET FT6-36P,0.015,90
ANLET FT6-36P,0.0225,200
ANLET FT6-36P,0.0675,400
ANLET FT6-36P,0.15,500
ANLET FT6-36P,0.225,500
ANLET FT6-36P,0.375,500
ANLET FT6-36P,0.75,500
ANLET FT6-36P,2.25,500
ANLET FT6-36P,5.25,500
ANLET FT6-36P,15,450
ANLET FT6-36P,45,400
ANLET FT6-36P,150,330
ANLET FT6-36P,450,300
ANLET FT6-36P,750,250
ANLET FT6-75P,0.0075,40.5
ANLET FT6-75P,0.015,430
ANLET FT6-75P,0.0225,600
ANLET FT6-75P,0.03,700
ANLET FT6-75P,0.0375,800
ANLET FT6-75P,0.06,870
ANLET FT6-75P,0.075,900
ANLET FT6-75P,0.15,1000
ANLET FT6-75P,0.225,1000
ANLET FT6-75P,0.3,1000
ANLET FT6-75P,0.375,1000
ANLET FT6-75P,0.6,1000
ANLET FT6-75P,0.75,1000
ANLET FT6-75P,1.5,980
ANLET FT6-75P,7.5,900
ANLET FT6-75P,22.5,830
ANLET FT6-75P,37.5,800
ANLET FT6-75P,75,750
ANLET FT6-75P,150,700
ANLET FT6-75P,300,600
ANLET FT6-75P,750,500
BUSCH N0100B,0.0525,333
BUSCH N0100B,0.0675,500
BUSCH N0100B,0.15,1000
BUSCH N0100B,0.375,1500
BUSCH N0100B,0.6,1670
BUSCH N0100B,1.5,1830
BUSCH N0100B,2.25,1870
BUSCH N0100B,3,1870
BUSCH N0100B,3.75,1870
BUSCH N0100B,4.5,1870
BUSCH N0100B,5.25,1870
BUSCH N0100B,6,1870
BUSCH N0100B,6.75,1870
BUSCH N0100B,7.5,1870
BUSCH N0100B,15,1850
BUSCH N0100B,22.5,1830
BUSCH N0100B,30,1820
BUSCH N0100B,37.5,1800
BUSCH N0100B,60,1770
BUSCH N0100B,150,1680
BUSCH N0100B,225,1650
BUSCH N0100B,600,1530
BUSCH N0100B,760,1500
D65B leybold,0.0015,1.7
D65B leybold,0.00225,167
D65B leybold,0.003,290
D65B leybold,0.0045,483
D65B leybold,0.006,587
D65B leybold,0.0075,680
D65B leybold,0.015,957
D65B leybold,0.03,1000
D65B leybold,0.0525,1000
D65B leybold,0.075,1000
D65B leybold,0.15,1000
D65B leybold,0.3,1000
D65B leybold,0.525,1000
D65B leybold,0.75,1000
D65B leybold,1.5,1000
D65B leybold,3,1000
D65B leybold,5.25,1000
D65B leybold,7.5,1000
D65B leybold,15,1000
D65B leybold,30,1000
D65B leybold,52.5,1000
D65B leybold,75,1000
D65B leybold,150,1000
D65B leybold,300,1000
D65B leybold,525,1000
D65B leybold,750,1000
EPX180,0.00007,0.283
EPX180,0.0001,633
EPX180,0.0002,1330
EPX180,0.0003,1620
EPX180,0.0007,2030
EPX180,0.001,2110
EPX180,0.002,2200
EPX180,0.005,2270
EPX180,0.008,2330
EPX180,0.01,2370
EPX180,0.02,2560
EPX180,0.03,2720
EPX180,0.05,2900
EPX180,0.06,2950
EPX180,0.08,2970
EPX180,0.1,2990
EPX180,0.2,2910
EPX180,0.3,2770
EPX180,0.4,2630
EPX180,0.6,2330
EPX180,1,1940
EPX180,2,1500
EPX180,3,1320
EPX180,5,1170
EPX180,7,1080
EPX180,10,1050
EPX180,20,1020
EPX180,30,1000
EPX180,40,966
EPX180,50,933
EPX180,60,866
EPX180,80,783
EPX180,100,699
EPX180,200,500
EPX180,300,433
EPX180,400,410
EPX180,500,400
EPX180,600,383
EPX180,700,380
iH600_50,0.00128,17
iH600_50,0.0015,1980
iH600_50,0.003,3720
iH600_50,0.00525,4670
iH600_50,0.0075,5240
iH600_50,0.015,6110
iH600_50,0.03,6980
iH600_50,0.0525,7390
iH600_50,0.075,7680
iH600_50,0.15,8040
iH600_50,0.3,8290
iH600_50,0.525,8280
iH600_50,0.75,8130
iH600_50,1.5,7680
iH600_50,3,6980
iH600_50,5.25,6340
iH600_50,7.5,5660
iH600_50,15,4590
iH600_50,30,2690
iH600_50,52.5,1470
iH600_50,75,1240
iH600_50,150,1000
iH600_50,300,930
iH600_50,525,862
iH600_50,750,828
ESR201W-LT_BP3500rpm_MP5000rpm,0.00098,0.1
ESR201W-LT_BP3500rpm_MP5000rpm,0.0012,2765.3
ESR201W-LT_BP3500rpm_MP5000rpm,0.002,4677.4
ESR201W-LT_BP3500rpm_MP5000rpm,0.004,5807.2
ESR201W-LT_BP3500rpm_MP5000rpm,0.007,6992.3
ESR201W-LT_BP3500rpm_MP5000rpm,0.0103,7870.5
ESR201W-LT_BP3500rpm_MP5000rpm,0.02,9208.5
ESR201W-LT_BP3500rpm_MP5000rpm,0.04,10515.1
ESR201W-LT_BP3500rpm_MP5000rpm,0.07049,10990.7
ESR201W-LT_BP3500rpm_MP5000rpm,0.10019,11591.2
ESR201W-LT_BP3500rpm_MP5000rpm,0.20038,11749
ESR201W-LT_BP3500rpm_MP5000rpm,0.40087,12002.2
ESR201W-LT_BP3500rpm_MP5000rpm,0.70024,11967.4
ESR201W-LT_BP3500rpm_MP5000rpm,1.00072,11967.4
ESR201W-LT_BP3500rpm_MP5000rpm,2.00783,12218
ESR201W-LT_BP3500rpm_MP5000rpm,4.00366,11809.9
ESR201W-LT_BP3500rpm_MP5000rpm,7.0334,10496.7
ESR201W-LT_BP3500rpm_MP5000rpm,10.02315,8719.1
ESR201W-LT_BP3500rpm_MP5000rpm,20.51826,5714.8
ESR201W-LT_BP3500rpm_MP5000rpm,40.17659,3518.2
ESR201W-LT_BP3500rpm_MP5000rpm,70.12404,2698.4
ESR201W-LT_BP3500rpm_MP5000rpm,99.9915,2340.8
ESR201W-LT_BP3500rpm_MP5000rpm,199.983,1850.6
ESR201W-LT_BP3500rpm_MP5000rpm,400.86592,1404.7
ESR201W-LT_BP3500rpm_MP5000rpm,639.84561,1131.9
ESR201W-LT_BP3500rpm_MP5000rpm,759.9375,1050
EST1201WN,0.00399,1.04862
EST1201WN,0.00399,100
EST1201WN,0.00399,1000
EST1201WN,0.00399,10000
EST1201WN,0.00399,22952.22234
EST1201WN,0.00605,32769.05502
EST1201WN,0.0075,39154.66433
EST1201WN,0.01079,49645.08843
EST1201WN,0.01508,60027.54
EST1201WN,0.03053,78869.16
EST1201WN,0.06047,95363.34
EST1201WN,0.10477,103624.85
EST1201WN,0.18152,106114.12
EST1201WN,0.30081,106114.12
EST1201WN,0.46624,103624.85
EST1201WN,0.68097,74324.85
EST1201WN,1.09541,45687.1234
EST1201WN,1.8018,25539.74136
EST1201WN,2.671,17468.99986
EST1201WN,4.49242,10996.06032
EST1201WN,7.4445,6921.59502
EST1201WN,14.96447,3733.91948
EST1201WN,20.14158,2875.82786
EST1201WN,38.15161,2137.45464
EST1201WN,74.44499,1705.9204
EST1201WN,176.20937,1345.44509
EST1201WN,309.87768,1267.92272
EST1201WN,728.04469,1223.57013
EV-L200N,0.0037,1
EV-L200N,0.0052,1000
EV-L200N,0.0059,2500
EV-L200N,0.0067,4000
EV-L200N,0.0074,5000.0002
EV-L200N,0.0113,8000
EV-L200N,0.015,10000
EV-L200N,0.03,12000
EV-L200N,0.075,16000
EV-L200N,0.225,18000
EV-L200N,0.45,17500
EV-L200N,0.75,17000
EV-L200N,3.75,11500
EV-L200N,7.5,8000
EV-L200N,67.5,2100
EV-L200N,86.25,2000
EV-L200N,600,250
EV-L200N,750,220
A1204H,0.00091,16.66667
A1204H,0.00091,835.31206
A1204H,0.0016,2963.79902
A1204H,0.00241,4975.6377
A1204H,0.02833,13238.80391
A1204H,0.09711,17654.22875
A1204H,0.71893,16666.66667
A1204H,3.35334,14854.1823
A1204H,19.20611,6635.11951
A1204H,62.54295,3731.2019
A1204H,203.66537,1666.66667
A1204H,734.92334,1402.32524
A124H,0.0147,16.1373
A124H,0.0156,108.3759
A124H,0.0175,304.4605
A124H,0.0215,639.6772
A124H,0.0334,1005.1308
A124H,0.0737,1433.6006
A124H,0.2116,1631.184
A124H,0.7678,1855.9989
A124H,2.2042,1855.9989
A124H,7.3263,1916.8866
A124H,14.3716,1855.9989
A124H,45.0492,1739.9643
A124H,96.4886,1579.3714
A124H,183.8122,1301.2841
A124H,311.4454,1181.1799
A124H,469.3523,1301.2841
A124H,629.1083,1433.6006
A1803H,0.00065,16.66667
A1803H,0.00068,52.35505
A1803H,0.0007,28.38328
A1803H,0.00073,129.42619
A1803H,0.00076,346.55153
A1803H,0.00088,834.20102
A1803H,0.00115,1666.66667
A1803H,0.00182,3329.86621
A1803H,0.00286,4964.06191
A1803H,0.00462,6832.27774
A1803H,0.00854,10185.34906
A1803H,0.01653,15593.62247
A1803H,0.03425,19814.96266
A1803H,0.07952,23873.61104
A1803H,0.14704,27272.28847
A1803H,0.27814,28008.01147
A1803H,0.56334,28763.58203
A1803H,1.25825,27007.68153
A1803H,2.49022,24170.99524
A1803H,4.15519,18113.12265
A1803H,7.06609,12420.46646
A1803H,12.24623,8903.47601
A1803H,19.67364,6821.76795
A1803H,30.42962,4782.77637
A1803H,52.73757,3664.52277
A1803H,94.93234,2807.72632
A1803H,161.43676,2248.89527
A1803H,249.69751,1883.04543
A1803H,319.50159,1685.26432
A1803H,449.47788,1968.51127
A1803H,575.13149,2403.72563
A1804H,0.00207,16.66667
A1804H,0.00212,30.04505
A1804H,0.00216,44.50297
A1804H,0.0022,80.22564
A1804H,0.0022,126.87187
A1804H,0.0022,228.71229
A1804H,0.00225,547.56594
A1804H,0.00243,1227.85569
A1804H,0.0028,2523.15271
A1804H,0.00328,4963.43569
A1804H,0.00378,7193.16197
A1804H,0.00542,10424.54913
A1804H,0.00776,12967.13434
A1804H,0.01229,15440.92787
A1804H,0.02285,19630.8361
A1804H,0.03693,22377.46234
A1804H,0.06337,23891.68906
A1804H,0.10873,27234.46773
A1804H,0.18657,27835.40629
A1804H,0.3138,29077.35581
A1804H,0.59507,29077.35581
A1804H,1.01736,27726.90416
A1804H,2.31588,23974.1648
A1804H,3.69381,20729.34558
A1804H,5.89161,15497.79109
A1804H,9.60832,10773.95272
A1804H,16.02199,7861.99856
A1804H,30.52927,5206.97619
A1804H,54.41905,3988.37622
A1804H,123.87746,2578.23461
A1804H,225.77817,2072.93456
A1804H,336.87987,1881.39649
A1804H,513.95291,2175.89645
A1804H,627.79794,2516.49527
ADS602 ,0.00047,16.93784
ADS602 ,0.00047,28.38946
ADS602 ,0.00048,43.19169
ADS602 ,0.00051,78.47764
ADS602 ,0.00051,149.66484
ADS602 ,0.00055,246.83657
ADS602 ,0.00059,455.78984
ADS602 ,0.00065,704.72061
ADS602 ,0.00077,1107.33405
ADS602 ,0.00103,1657.72429
ADS602 ,0.00155,2402.85329
ADS602 ,0.00226,3212.8872
ADS602 ,0.00445,4365.89261
ADS602 ,0.00744,5472.72833
ADS602 ,0.01503,6750.33592
ADS602 ,0.03384,8061.72889
ADS602 ,0.08959,8881.45794
ADS602 ,0.25721,9322.06874
ADS602 ,0.66278,9322.06874
ADS602 ,1.61791,9025.96426
ADS602 ,4.05773,7680.68849
ADS602 ,11.65028,5385.10957
ADS602 ,21.70055,4092.94271
ADS602 ,46.27322,2734.0221
ADS602 ,93.47573,1886.19708
ADS602 ,210.40102,1343.97381
ADS602 ,391.90614,1219.92949
ADS602 ,729.98897,1219.92949
GS1800C,0.00203,1.66667
GS1800C,0.00435,6417.1123
GS1800C,0.01024,13368.98396
GS1800C,0.02317,20142.6025
GS1800C,0.07737,26916.22103
GS1800C,0.30185,30124.77718
GS1800C,0.76771,29055.25847
GS1800C,3.1139,23351.15865
GS1800C,7.6176,18181.81818
GS1800C,17.24042,13012.47772
GS1800C,40.56667,7130.12478
GS1800C,146.42047,2673.79679
GS1800C,779.75,891.27
GXS2502600,0.00038,128.20513
GXS2502600,0.00102,6025.64103
GXS2502600,0.00198,10512.82051
GXS2502600,0.00453,15256.41026
GXS2502600,0.01139,20897.4359
GXS2502600,0.02687,24871.79487
GXS2502600,0.05583,27948.71795
GXS2502600,0.11236,30128.20513
GXS2502600,0.2122,31666.66667
GXS2502600,0.46979,32179.48718
GXS2502600,0.78129,31666.66667
GXS2502600,1.10837,30128.20513
GXS2502600,2.02775,27564.10256
GXS2502600,3.37226,24230.76923
GXS2502600,5.60826,19615.38462
GXS2502600,8.47844,15897.4359
GXS2502600,14.10013,11282.05128
GXS2502600,28.37726,7307.69231
GXS2502600,62.82582,4743.58974
GXS2502600,126.44036,3717.94872
GXS2502600,288.97487,3076.92308
GXS2502600,750,2820.51282
GXS7504200,0.00037,720.16461
GXS7504200,0.00079,8822.01646
GXS7504200,0.0017,17283.95062
GXS7504200,0.00347,25385.80247
GXS7504200,0.00825,33667.69547
GXS7504200,0.02007,41769.54733
GXS7504200,0.06574,50231.48
GXS7504200,0.31191,55992.8
GXS7504200,1.10009,57613.17
GXS7504200,2.03772,56388.89
GXS7504200,4.14788,49907.40741
GXS7504200,6.76153,41805.55556
GXS7504200,10.54317,33379.62963
GXS7504200,19.63666,25277.77778
GXS7504200,54.55036,17175.92593
GXS7504200,226.02732,11666.66667
GXS7504200,750,9398.14815
HD1200e,0.00555,16.66667
HD1200e,0.00704,7081.43056
HD1200e,0.00803,8183.67222
HD1200e,0.01325,9688.27941
HD1200e,0.03423,12630.77217
HD1200e,0.13843,14952.99991
HD1200e,0.57483,14952.99991
HD1200e,1.78611,12329.87567
HD1200e,5.54977,9012.2461
HD1200e,15.11434,5700.06966
HD1200e,42.2624,3119.60824
HD1200e,124.57183,1791.68791
HD1200e,387.0671,1079.85906
HD1200e,768.24,828.29
HD2000e,0.00504,16.2686
HD2000e,0.0056,11117.208
HD2000e,0.00693,13489.17014
HD2000e,0.01209,17177.98065
HD2000e,0.03988,22959.17938
HD2000e,0.09825,25908.9492
HD2000e,0.19577,25908.9492
HD2000e,0.36995,23520.9603
HD2000e,0.84167,18921.99223
HD2000e,3.43169,11667.91097
HD2000e,15.15034,5254.5607
HD2000e,68.68347,2254.66667
HD2000e,232.59624,1324.68072
HD2000e,767.07,778.29
iGX600L,0.00063,17.10184
iGX600L,0.00073,1863.61506
iGX600L,0.00095,2673.45347
iGX600L,0.00144,4251.72501
iGX600L,0.00293,5792.86658
iGX600L,0.00804,7305.32925
iGX600L,0.02762,9453.22714
iGX600L,0.09139,10753.50997
iGX600L,0.32592,11034.28691
iGX600L,1.1623,10753.50997
iGX600L,3.99282,8978.25701
iGX600L,10.55731,6938.2786
iGX600L,15.34497,5092.41017
iGX600L,30.0822,3120.5907
iGX600L,65.97461,1555.95848
iGX600L,161.87061,756.0755
iGX600L,382.57614,376.98699
iGX600L,722.47024,298.93729
iH600_60,0.00053,16.7
iH600_60,0.00062,166.7
iH600_60,0.00075,1666.7
iH600_60,0.0015,4030
iH600_60,0.003,5595
iH600_60,0.00525,6666.7
iH600_60,0.0075,7433.3
iH600_60,0.015,8333.3
iH600_60,0.03,9386.7
iH600_60,0.0525,10000
iH600_60,0.075,10000
iH600_60,0.15,10000
iH600_60,0.3,10000
iH600_60,0.525,10000
iH600_60,0.75,10000
iH600_60,1.5,10000
iH600_60,3,10000
iH600_60,5.25,9153.3
iH600_60,7.5,8593.3
iH600_60,15,7201.7
iH600_60,18.75,6666.7
iH600_60,22.5,2511.7
iH600_60,30,2285
iH600_60,52.5,1951.7
iH600_60,75,1775
iH600_60,150,1500
iH600_60,300,1260
iH600_60,525,1146.7
iH600_60,759.9975,1078.3
iPH1820,0.00075,16.66667
iPH1820,0.00078,284.90028
iPH1820,0.00097,1994.30199
iPH1820,0.00199,6647.67331
iPH1820,0.00657,13485.28015
iPH1820,0.02229,20037.9867
iPH1820,0.1,26875.59354
iPH1820,0.40526,30009.49668
iPH1820,0.98736,30579.29725
iPH1820,2.94858,29629.62963
iPH1820,5.16068,28774.92877
iPH1820,9.26512,26780.62678
iPH1820,15.02435,23931.62393
iPH1820,22.00602,20227.92023
iPH1820,29.86332,15479.58215
iPH1820,33.9146,11111.11111
iPH1820,44.86769,6742.64008
iPH1820,70.9298,5033.23837
iPH1820,133.98983,3703.7037
iPH1820,326.4466,2943.96961
iPH1820,736.89111,2659.06933
iPH1820,760,2650
IXH1210H,0.00341,1020.83333
IXH1210H,0.00429,2430.55556
IXH1210H,0.00569,3986.11111
IXH1210H,0.0075,5638.88889
IXH1210H,0.00861,6586.80556
IXH1210H,0.01027,7899.30556
IXH1210H,0.01273,9211.80556
IXH1210H,0.01472,9940.97222
IXH1210H,0.02063,11375
IXH1210H,0.03003,12930.55556
IXH1210H,0.04439,14194.44444
IXH1210H,0.06266,15361.11111
IXH1210H,0.09551,16211.80556
IXH1210H,0.14781,17038.19444
IXH1210H,0.1846,17378.47222
IXH1210H,0.28135,17645.83333
IXH1210H,0.45245,17670.13889
IXH1210H,0.71107,16916.66667
IXH1210H,1.05915,15993.05556
IXH1210H,1.29265,15458.33333
IXH1210H,1.41715,15069.44444
IXH1210H,2.29649,13562.5
IXH1210H,3.0727,12420.13889
IXH1210H,4.43869,10572.91667
IXH1210H,6.81727,8604.16667
IXH1210H,10.23254,7072.91667
IXH1210H,17.63016,5371.52778
IXH1210H,25.86102,4472.22222
IXH1210H,33.55756,3645.83333
IXH1210H,47.73848,2916.66667
IXH1210H,82.88372,2065.97222
IXH1210H,140.63277,1579.86111
IXH1210H,240.45378,1263.88889
IXH1210H,417.47674,1069.44444
IXH1210H,661.14924,996.52778
IXH1210H,1071.4,972.22
IXH1220H,0.00322,1316.61442
IXH1220H,0.00405,3072.10031
IXH1220H,0.00499,5120.16719
IXH1220H,0.00599,6509.92686
IXH1220H,0.00807,8265.41275
IXH1220H,0.01113,10094.04389
IXH1220H,0.0157,12361.5465
IXH1220H,0.02485,14409.61338
IXH1220H,0.03843,15945.66353
IXH1220H,0.05944,17335.4232
IXH1220H,0.08984,18213.16614
IXH1220H,0.16316,19456.63532
IXH1220H,0.33235,20407.52351
IXH1220H,0.72521,20773.24974
IXH1220H,1.51148,20041.79728
IXH1220H,2.50421,19090.90909
IXH1220H,3.69919,17554.85893
IXH1220H,5.46439,15872.51829
IXH1220H,7.03357,14117.03239
IXH1220H,9.26355,12361.5465
IXH1220H,13.37352,10459.77011
IXH1220H,17.61356,8850.57471
IXH1220H,25.4282,7241.37931
IXH1220H,43.10737,5193.31244
IXH1220H,74.77461,3584.11703
IXH1220H,159.46222,2340.64786
IXH1220H,296.31989,1755.48589
IXH1220H,490.94168,1536.05016
IXH1220H,646.59334,1389.75967
IXH1220H,1023.21,1316.61
iXH1820,0.00268,0.16667
iXH1820,0.00351,3255
iXH1820,0.00533,8333.333
iXH1820,0.0075,12109.33
iXH1820,0.01163,16666.67
iXH1820,0.01643,19270.83
iXH1820,0.02813,22395.83
iXH1820,0.0507,25000
iXH1820,0.075,26166.67
iXH1820,0.12375,27604.17
iXH1820,0.26775,28906.25
iXH1820,0.6165,29687.5
iXH1820,0.75,29557.29
iXH1820,1.224,28385.42
iXH1820,2.3145,25000
iXH1820,4.16625,20572.92
iXH1820,5.87025,16666.67
iXH1820,7.5,13802.08
iXH1820,12.85575,8333.333
iXH1820,25.5255,4427.083
iXH1820,53.226,2604.167
iXH1820,75,2343.75
iXH1820,156.39,1822.917
iXH1820,326.106,1302.083
iXH1820,532.2615,1041.667
iXH1820,759.99,859.375
IXH200H,0.00784,294.42692
IXH200H,0.02171,1177.70768
IXH200H,0.05231,1840.16824
IXH200H,0.12899,2649.84227
IXH200H,0.38275,3312.30284
IXH200H,1.05956,3606.72976
IXH200H,2.86607,3901.15668
IXH200H,6.59319,3606.72976
IXH200H,17.02769,3385.90957
IXH200H,46.05922,3091.48265
IXH200H,94.37878,2355.41535
IXH200H,280.05039,1619.34806
IXH200H,775.26,1398.53
iXH3030T,0.0041,1
iXH3030T,0.0065,8333
iXH3030T,0.0103,16667
iXH3030T,0.0164,25000
iXH3030T,0.0316,33333
iXH3030T,0.0848,41667
iXH3030T,0.306,45833
iXH3030T,1,41667
iXH3030T,1.8317,33333
iXH3030T,3.0599,25000
iXH3030T,5.9078,16667
iXH3030T,10,11765
iXH3030T,16.927,8333
iXH3030T,100,2206
iXH3030T,1000,735
iXH3050H,0.0007,17
iXH3050H,0.001,4650
iXH3050H,0.002,12403
iXH3050H,0.004,18605
iXH3050H,0.007,24806
iXH3050H,0.01,29457
iXH3050H,0.02,37597
iXH3050H,0.04,43798
iXH3050H,0.07,47519
iXH3050H,0.1,49225
iXH3050H,0.2,51318
iXH3050H,0.39999,52636
iXH3050H,0.69998,52713
iXH3050H,0.99998,51938
iXH3050H,1.99995,49612
iXH3050H,3.9999,36047
iXH3050H,6.99983,25969
iXH3050H,9.99975,22868
iXH3050H,19.9995,13953
iXH3050H,39.999,8140
iXH3050H,69.99825,5659
iXH3050H,199.995,2171
iXH3050H,399.99,1163
iXH3050H,759.981,1083
IXH4550HT,0.00215,336.70034
IXH4550HT,0.00253,4040.40404
IXH4550HT,0.00296,8754.20875
IXH4550HT,0.00386,14646.46465
IXH4550HT,0.00574,22558.92256
IXH4550HT,0.009,32154.88215
IXH4550HT,0.01338,40740.74074
IXH4550HT,0.01938,46969.69697
IXH4550HT,0.02883,53030.3
IXH4550HT,0.04894,59090.91
IXH4550HT,0.08995,63973.06
IXH4550HT,0.14107,66666.67
IXH4550HT,0.31207,68855.22
IXH4550HT,0.52983,68350.17
IXH4550HT,0.83088,64646.46
IXH4550HT,1.14149,58249.16
IXH4550HT,1.74333,50000
IXH4550HT,2.73389,41245.79125
IXH4550HT,3.85662,36026.93603
IXH4550HT,6.37673,27441.07744
IXH4550HT,12.35817,19023.56902
IXH4550HT,27.33894,10269.36027
IXH4550HT,92.36709,4040.40404
IXH4550HT,385.66204,1851.85185
IXH4550HT,1054.36,1515.15
IXH6050HT,0.00089,7140.54726
IXH6050HT,0.00134,12856.21891
IXH6050HT,0.002,18654.72637
IXH6050HT,0.00345,26855.47264
IXH6050HT,0.0064,38618.1592
IXH6050HT,0.01104,49718.1592
IXH6050HT,0.01657,57587.56
IXH6050HT,0.02375,64214.43
IXH6050HT,0.03947,71338.31
IXH6050HT,0.06681,77716.67
IXH6050HT,0.1534,82769.65
IXH6050HT,0.22195,83432.34
IXH6050HT,0.34258,82438.31
IXH6050HT,0.50959,80450.25
IXH6050HT,0.77931,77385.32
IXH6050HT,1.07668,73077.86
IXH6050HT,1.39439,68687.56
IXH6050HT,1.83953,62889.05
IXH6050HT,2.15223,57836.07
IXH6050HT,2.91904,50546.52
IXH6050HT,3.71124,43339.801
IXH6050HT,4.85097,35304.72637
IXH6050HT,6.76416,26938.30846
IXH6050HT,9.69686,20642.78607
IXH6050HT,15.38742,14181.59204
IXH6050HT,30.47595,8631.59204
IXH6050HT,62.05557,5400.99503
IXH6050HT,115.2119,3412.93532
IXH6050HT,247.96194,2087.56219
IXH6050HT,514.3159,1342.0398
IXH6050HT,928.78,1176.37
iXH610,0.0018,1.66667
iXH610,0.00266,2722.77228
iXH610,0.00459,5198.0198
iXH610,0.01,7343.23432
iXH610,0.02685,9323.43234
iXH610,0.08424,10478.54785
iXH610,0.25753,10973.59736
iXH610,0.62314,10313.53135
iXH610,1.71697,8910.89109
iXH610,5.38737,6930.69307
iXH610,17.34913,4455.44555
iXH610,68.78152,2227.72277
iXH610,272.68793,1155.11551
iXH610,1053.35,990.1
IXL1000,0.00056,172.71157
IXL1000,0.00125,2504.31779
IXL1000,0.00258,4058.72193
IXL1000,0.00763,7772.02073
IXL1000,0.02154,11312.60794
IXL1000,0.04642,13730.56995
IXL1000,0.13111,15112.26252
IXL1000,0.28248,15284.97409
IXL1000,0.7627,14162.34888
IXL1000,2.58086,11139.89637
IXL1000,5.31484,9067.35751
IXL1000,10.945,5267.70294
IXL1000,20.59328,2936.09672
IXL1000,48.55953,1036.26943
IXL1000,83.47734,690.84629
IXL1000,179.84649,604.4905
IXL1000,323.44759,1208.981
IXL1000,581.70913,1468.04836
IXL1000,955.86,1468.05
IXL1000N,0.00066,0
IXL1000N,0.00097,877.19298
IXL1000N,0.00161,2436.64717
IXL1000N,0.00501,6627.68031
IXL1000N,0.01114,9649.12281
IXL1000N,0.02185,11598.44055
IXL1000N,0.03938,12865.49708
IXL1000N,0.07099,13645.22417
IXL1000N,0.38216,15009.74659
IXL1000N,1.81337,12962.96296
IXL1000N,3.00474,11500.97466
IXL1000N,4.97884,10428.8499
IXL1000N,11.07609,6725.1462
IXL1000N,25.69932,3508.77193
IXL1000N,116.91901,1559.45419
IXL1000N,656.49644,1267.05653
IXL250Q,0.00031,63.0517
IXL250Q,0.00053,3215.63682
IXL250Q,0.00084,5107.18789
IXL250Q,0.00137,7187.89407
IXL250Q,0.00214,9079.44515
IXL250Q,0.00371,12232.03027
IXL250Q,0.00671,15510.71879
IXL250Q,0.01283,19041.61413
IXL250Q,0.02455,22572.50946
IXL250Q,0.04966,25788.14628
IXL250Q,0.09936,27994.95587
IXL250Q,0.1944,29319.04162
IXL250Q,0.36777,30075.66205
IXL250Q,0.544,30138.71375
IXL250Q,0.91003,29319.04162
IXL250Q,1.78041,27049.18033
IXL250Q,3.04573,24716.26734
IXL250Q,4.11956,23329.12989
IXL250Q,5.69804,20113.49307
IXL250Q,9.21739,16456.49433
IXL250Q,15.94546,12799.49559
IXL250Q,37.30999,8890.29004
IXL250Q,91.2944,5422.44641
IXL250Q,208.88955,3783.10214
IXL250Q,462.18527,2963.43001
IXL250Q,706.98489,2648.1715
IXL250Q,967,2459.02
IXL500Q,0.00028,125.94459
IXL500Q,0.00039,2581.86403
IXL500Q,0.00054,5100.75577
IXL500Q,0.00092,7304.78604
IXL500Q,0.0021,10957.17906
IXL500Q,0.00415,14294.71062
IXL500Q,0.00694,16813.60235
IXL500Q,0.01283,20780.85684
IXL500Q,0.02295,24622.16674
IXL500Q,0.0384,27518.89224
IXL500Q,0.07104,29974.81169
IXL500Q,0.1537,32178.84196
IXL500Q,0.33255,33753.1493
